Hiber-loss	LSTM-Loss	
 2.1680e+00	 2.5328e-01	
 2.1752e+00	 2.5632e-01	
 2.1383e+00	 2.4697e-01	
 2.1007e+00	 2.4625e-01	
 2.1406e+00	 2.5403e-01	
 2.1673e+00	 2.4839e-01	
 2.1142e+00	 2.3979e-01	
 2.1504e+00	 2.4809e-01	
 2.1182e+00	 2.5410e-01	
 2.2039e+00	 2.4556e-01	
 2.1087e+00	 2.4985e-01	
 2.2126e+00	 2.4831e-01	
 2.1152e+00	 2.4931e-01	
 2.1701e+00	 2.5432e-01	
 2.1464e+00	 2.4609e-01	
 2.1913e+00	 2.4139e-01	
 2.1745e+00	 2.4686e-01	
 2.1713e+00	 2.4363e-01	
 2.1363e+00	 2.4496e-01	
 2.1258e+00	 2.4613e-01	
 2.1557e+00	 2.5304e-01	
 2.1475e+00	 2.3910e-01	
 2.0702e+00	 2.4488e-01	
 2.1909e+00	 2.4219e-01	
 2.0964e+00	 2.3433e-01	
 2.1968e+00	 2.3554e-01	
 2.1628e+00	 2.4411e-01	
 2.1664e+00	 2.5577e-01	
 2.1699e+00	 2.4799e-01	
 2.1685e+00	 2.4383e-01	
 2.1027e+00	 2.4927e-01	
 2.2199e+00	 2.4468e-01	
 2.1374e+00	 2.4492e-01	
 2.1459e+00	 2.4614e-01	
 2.2136e+00	 2.4850e-01	
 2.1630e+00	 2.4488e-01	
 2.1487e+00	 2.4522e-01	
 2.1684e+00	 2.4776e-01	
 2.0799e+00	 2.4704e-01	
 2.1159e+00	 2.4905e-01	
 2.1776e+00	 2.4441e-01	
 2.0709e+00	 2.5067e-01	
 2.1658e+00	 2.4225e-01	
 2.1194e+00	 2.4584e-01	
 2.1630e+00	 2.4614e-01	
 2.1573e+00	 2.5088e-01	
 2.0867e+00	 2.4553e-01	
 2.1755e+00	 2.4116e-01	
 2.1391e+00	 2.4044e-01	
 2.1038e+00	 2.5459e-01	
 2.1019e+00	 2.4712e-01	
 2.1068e+00	 2.4766e-01	
 2.1438e+00	 2.5147e-01	
 2.1291e+00	 2.4868e-01	
 2.1331e+00	 2.4420e-01	
 2.0948e+00	 2.4943e-01	
 2.0965e+00	 2.4532e-01	
 2.1410e+00	 2.4932e-01	
 2.1482e+00	 2.4756e-01	
 2.1225e+00	 2.4726e-01	
 2.1960e+00	 2.4884e-01	
 2.1077e+00	 2.4697e-01	
 2.1552e+00	 2.4847e-01	
 2.1154e+00	 2.4852e-01	
 2.1300e+00	 2.4487e-01	
 2.1211e+00	 2.5088e-01	
 2.1228e+00	 2.4670e-01	
 2.1645e+00	 2.4395e-01	
 2.1055e+00	 2.4873e-01	
 2.1195e+00	 2.4026e-01	
 2.1203e+00	 2.4447e-01	
 2.1066e+00	 2.4592e-01	
 2.0987e+00	 2.5260e-01	
 2.0712e+00	 2.3870e-01	
 2.1354e+00	 2.3610e-01	
 2.0946e+00	 2.3750e-01	
 2.1095e+00	 2.4008e-01	
 2.1492e+00	 2.3912e-01	
 2.1811e+00	 2.4210e-01	
 2.1423e+00	 2.3767e-01	
 2.1175e+00	 2.3519e-01	
 2.1408e+00	 2.3787e-01	
 2.1987e+00	 2.3257e-01	
 2.1876e+00	 2.3909e-01	
 2.1392e+00	 2.4200e-01	
 2.1819e+00	 2.4236e-01	
 2.1126e+00	 2.3741e-01	
 2.1418e+00	 2.4685e-01	
 2.1089e+00	 2.4288e-01	
 2.1564e+00	 2.3999e-01	
 2.0599e+00	 2.4190e-01	
