Hiber-loss	LSTM-Loss	
 1.3809e+00	 2.7937e-01	
 1.3513e+00	 2.7597e-01	
 1.3854e+00	 2.7855e-01	
 1.3642e+00	 2.7676e-01	
 1.3522e+00	 2.7873e-01	
 1.3494e+00	 2.7677e-01	
 1.3900e+00	 2.7776e-01	
 1.3708e+00	 2.7724e-01	
 1.3215e+00	 2.7259e-01	
 1.3674e+00	 2.7747e-01	
 1.3395e+00	 2.7656e-01	
 1.3506e+00	 2.7706e-01	
 1.3462e+00	 2.7917e-01	
 1.3417e+00	 2.7518e-01	
 1.3677e+00	 2.7709e-01	
 1.3430e+00	 2.7586e-01	
 1.3771e+00	 2.7923e-01	
 1.3256e+00	 2.7541e-01	
 1.3713e+00	 2.7920e-01	
 1.3599e+00	 2.7772e-01	
 1.3598e+00	 2.7726e-01	
 1.3941e+00	 2.7722e-01	
 1.3717e+00	 2.7808e-01	
 1.3913e+00	 2.8104e-01	
 1.3482e+00	 2.8051e-01	
 1.3540e+00	 2.7700e-01	
 1.3011e+00	 2.7898e-01	
 1.3562e+00	 2.7805e-01	
 1.3703e+00	 2.7736e-01	
 1.3566e+00	 2.7948e-01	
 1.3764e+00	 2.8214e-01	
 1.3822e+00	 2.7889e-01	
 1.3354e+00	 2.7876e-01	
 1.3350e+00	 2.7548e-01	
 1.3075e+00	 2.7867e-01	
 1.3351e+00	 2.7810e-01	
 1.3628e+00	 2.7715e-01	
 1.3418e+00	 2.7681e-01	
 1.3806e+00	 2.7638e-01	
 1.3841e+00	 2.8049e-01	
 1.3213e+00	 2.7641e-01	
 1.3341e+00	 2.7508e-01	
 1.3683e+00	 2.7856e-01	
 1.3398e+00	 2.7499e-01	
 1.3522e+00	 2.8145e-01	
 1.3572e+00	 2.7702e-01	
 1.3476e+00	 2.7954e-01	
 1.3525e+00	 2.7755e-01	
 1.3628e+00	 2.8153e-01	
 1.3786e+00	 2.7961e-01	
 1.3936e+00	 2.7863e-01	
 1.3204e+00	 2.7517e-01	
 1.3843e+00	 2.7887e-01	
 1.3560e+00	 2.8028e-01	
 1.3737e+00	 2.8096e-01	
 1.3100e+00	 2.7252e-01	
 1.3673e+00	 2.7507e-01	
 1.3549e+00	 2.8172e-01	
 1.3561e+00	 2.7426e-01	
 1.3417e+00	 2.7901e-01	
 1.3086e+00	 2.7526e-01	
 1.3451e+00	 2.8056e-01	
 1.3538e+00	 2.7677e-01	
 1.3587e+00	 2.8032e-01	
 1.3803e+00	 2.8182e-01	
 1.3670e+00	 2.8281e-01	
 1.3469e+00	 2.7537e-01	
 1.3802e+00	 2.7783e-01	
 1.3424e+00	 2.7529e-01	
 1.3492e+00	 2.7918e-01	
 1.3662e+00	 2.7835e-01	
 1.3854e+00	 2.7766e-01	
 1.3579e+00	 2.7755e-01	
 1.3207e+00	 2.7673e-01	
 1.3738e+00	 2.8054e-01	
 1.3254e+00	 2.7705e-01	
 1.4035e+00	 2.7604e-01	
 1.3995e+00	 2.8133e-01	
